ID,DATA_MOV,DATA_INS,IMPORTO,DARE_AVERE,ID_TIPO_MOV,ID_CONTO,NOTE
53,2020-08-20,2020-11-16 22:47:32,30,32,False,1,2,
54,2020-08-19,2020-11-16 22:49:32,55,139999,False,1,2,
55,2020-08-17,2020-11-16 22:50:09,16,False,1,2,
56,2020-08-14,2020-11-16 22:51:05,144,41,False,1,2,
57,2020-08-11,2020-11-16 22:52:41,76,False,1,2,
58,2020-08-10,2020-11-16 22:53:20,11,17,False,1,2,
59,2020-08-11,2020-11-17 00:08:29,1199,True,3,5,
60,2020-08-11,2020-11-17 20:29:07,8,8000002,False,1,4,
61,2020-08-07,2020-11-17 20:29:37,40,False,1,2,
62,2020-08-04,2020-11-17 20:30:06,12,21,False,1,2,
63,2020-08-01,2020-11-17 20:32:37,5,False,1,2,
64,2020-08-01,2020-11-17 20:32:53,5,False,1,2,
65,2020-08-01,2020-11-17 20:33:34,90,False,1,2,
66,2020-07-31,2020-11-17 21:19:38,16,93,False,1,2,
67,2020-07-31,2020-11-17 21:20:21,12,False,1,2,
68,2020-08-01,2020-11-17 21:22:45,5,False,1,2,
69,2020-07-31,2020-11-17 21:25:28,7,0999999,False,1,2,
70,2020-08-03,2020-11-17 21:26:24,150,True,4,5,
71,2020-07-25,2020-11-17 21:27:10,2,False,1,2,
72,2020-07-25,2020-11-17 21:27:43,45,False,1,2,
73,2020-07-24,2020-11-17 21:28:17,5,False,1,2,
74,2020-07-24,2020-11-17 21:28:53,2,False,1,2,
75,2020-07-23,2020-11-17 21:31:32,10,False,0,2,
76,2020-07-22,2020-11-17 21:32:23,38,700001,False,1,2,
77,2020-07-18,2020-11-17 21:34:56,11,3,False,1,2,
78,2020-07-18,2020-11-17 21:35:37,121,False,1,2,
79,2020-07-20,2020-11-17 23:13:30,28,True,4,2,
80,2020-07-17,2020-11-17 23:14:01,9,3999996,False,1,2,
81,2020-07-16,2020-11-17 23:14:33,16,6,False,1,2,
82,2020-07-16,2020-11-17 23:15:02,44,459999,False,1,2,
83,2020-07-14,2020-11-17 23:15:45,20,False,1,2,
84,2020-07-14,2020-11-17 23:21:57,7,False,1,2,
85,2020-07-13,2020-11-17 23:22:49,12,99,False,1,2,
86,2020-07-12,2020-11-17 23:24:24,30,False,1,2,
87,2020-07-11,2020-11-17 23:25:00,10,False,1,2,
88,2020-07-12,2020-11-17 23:25:34,13,8,False,1,2,
89,2020-07-12,2020-11-30 21:36:45,10,False,1,2,
90,2020-07-10,2020-11-30 21:37:13,8,False,1,2,
91,2020-07-13,2020-11-30 21:42:03,1151,True,3,5,
92,2020-07-08,2020-11-30 21:42:32,28,False,1,2,
93,2020-07-08,2020-11-30 21:43:05,500,False,1,2,
94,2020-07-09,2020-11-30 21:44:16,10,49,False,1,2,
95,2020-07-07,2020-11-30 21:44:50,24,False,1,2,
96,2020-07-05,2020-11-30 21:45:19,36,5,False,1,2,
97,2020-07-03,2020-11-30 21:46:51,8,8000002,False,1,2,
98,2020-06-30,2020-11-30 21:47:20,8,5,False,1,2,
99,2020-06-29,2020-11-30 21:47:47,17,98,False,1,2,
100,2020-07-01,2020-11-30 21:49:55,865,True,3,5,
101,2020-06-27,2020-11-30 21:50:33,55,869999,False,1,2,
102,2020-06-30,2020-11-30 21:51:17,22,559999,False,2,2,
103,2020-06-23,2020-11-30 21:51:45,100,True,4,5,
104,2020-06-17,2020-11-30 21:52:23,100,False,1,5,
105,2020-06-13,2020-11-30 21:52:47,40,False,1,2,
106,2020-06-16,2020-11-30 21:53:16,7,False,1,4,
107,2020-06-12,2020-11-30 21:53:46,53,049999,False,1,2,
108,2020-06-11,2020-11-30 21:54:03,20,False,1,2,
109,2020-06-10,2020-11-30 21:58:09,47,099998,False,1,2,
110,2020-06-11,2020-11-30 21:59:58,1184,True,3,5,
111,2020-06-06,2020-11-30 22:00:27,20,23,False,1,2,
112,2020-06-08,2020-11-30 22:00:50,8,True,4,4,
113,2020-06-05,2020-11-30 22:01:56,9,9899998,False,2,2,
114,2020-06-03,2020-11-30 22:02:23,37,91,False,1,2,
115,2020-06-03,2020-11-30 22:02:48,10,67,False,1,2,
116,2020-06-01,2020-11-30 22:03:21,17,92,False,1,2,
117,2020-06-04,2020-11-30 22:03:39,8,False,1,2,
118,2020-06-02,2020-11-30 22:04:05,29,99,False,1,2,
119,2020-06-02,2020-11-30 22:06:11,31,34,False,1,2,
120,2020-06-03,2020-11-30 22:06:56,240,True,4,5,
121,2020-06-01,2020-11-30 22:07:18,153,False,1,2,
122,2020-05-30,2020-11-30 22:08:00,15,5,False,1,2,
123,2020-05-30,2020-11-30 22:08:31,54,470001,False,1,2,
124,2020-05-31,2020-11-30 22:08:52,279,98999,False,1,2,
125,2020-05-29,2020-11-30 22:09:14,5,5500002,False,1,2,
126,2020-05-29,2020-11-30 22:09:40,15,False,2,2,
127,2020-05-25,2020-11-30 22:10:10,20,True,4,4,
128,2020-05-23,2020-11-30 22:10:30,24,False,1,2,
130,2020-05-14,2020-11-30 22:11:38,14,True,4,5,
131,2020-05-13,2020-11-30 22:14:14,1035,True,3,5,
132,2020-04-29,2020-11-30 22:14:47,9,9899998,False,2,2,
133,2020-05-01,2020-11-30 22:15:17,17,92,False,1,2,
134,2020-04-22,2020-11-30 22:15:54,10,99,False,1,2,
135,2020-04-23,2020-11-30 22:16:12,30,True,4,5,
136,2020-04-18,2020-11-30 22:16:30,5,False,2,2,
137,2020-04-14,2020-11-30 22:19:21,1365,True,3,5,
138,2020-04-14,2020-11-30 22:20:23,50,False,1,2,
139,2020-04-10,2020-11-30 22:20:50,40,5,False,1,2,
140,2020-04-06,2020-11-30 22:21:33,194,98,False,1,2,
141,2020-03-30,2020-11-30 22:23:35,5,False,2,2,
142,2020-03-29,2020-11-30 22:24:04,10,False,2,2,
143,2020-03-30,2020-11-30 22:24:23,60,True,4,5,
144,2020-03-23,2020-11-30 22:24:57,59,990002,False,2,2,
145,2020-03-22,2020-11-30 22:25:24,60,False,1,2,
146,2020-03-19,2020-11-30 22:26:16,130,True,4,5,
147,2020-03-16,2020-11-30 22:27:01,2,28,False,1,2,
148,2020-03-16,2020-11-30 22:27:24,130,34,False,1,2,
149,2020-03-12,2020-11-30 22:27:39,55,True,4,5,
150,2020-03-11,2020-11-30 22:29:53,1589,True,3,5,
151,2020-03-09,2020-11-30 22:30:29,42,259998,False,1,2,
152,2020-03-06,2020-11-30 22:31:00,50,209999,False,1,2,
153,2020-03-04,2020-11-30 22:32:24,20,False,1,2,
154,2020-02-28,2020-11-30 22:35:17,15,False,2,2,
155,2020-03-01,2020-11-30 22:37:26,39,459999,False,1,2,
156,2020-03-01,2020-11-30 22:37:56,5,False,1,2,
157,2020-03-01,2020-11-30 22:38:17,7,5,False,1,2,
158,2020-03-03,2020-11-30 22:38:49,15,False,2,4,
159,2020-02-25,2020-11-30 22:39:16,7,5,False,1,2,
160,2020-02-25,2020-11-30 22:39:40,7,0999999,False,1,2,
161,2020-02-25,2020-11-30 22:40:00,39,580002,False,1,2,
162,2020-11-13,2020-12-24 18:57:57,53,220001,False,1,2,
163,2020-11-17,2020-12-24 18:58:39,18,07,False,1,2,
164,2020-11-18,2020-12-24 18:59:10,35,330002,False,1,2,
165,2020-11-20,2020-12-24 18:59:41,55,959999,False,1,2,
166,2020-11-22,2020-12-24 19:01:53,6,False,1,2,
167,2020-11-25,2020-12-24 19:06:26,60,970001,False,1,2,
168,2020-11-29,2020-12-24 19:07:10,21,290001,False,1,2,
169,2020-11-29,2020-12-24 19:11:26,99,489998,False,1,2,
170,2020-12-01,2020-12-24 19:13:54,10,False,2,2,
171,2020-12-01,2020-12-24 19:17:52,32,27,False,1,2,
172,2020-12-03,2020-12-24 19:18:35,8,False,1,2,
173,2020-12-03,2020-12-24 19:21:30,50,False,1,2,
174,2020-12-08,2020-12-24 19:22:00,16,False,1,4,
175,2020-12-11,2020-12-24 19:22:50,14,98,False,1,2,
176,2020-12-11,2020-12-24 19:41:14,1229,True,3,5,
