id|id_tipo_mov|id_conto|data_ins|data_mov|dare_avere|importo|note
72|1|2|17/11/2020 21:27:43|25/07/2020|f|45|
73|1|2|17/11/2020 21:28:17|24/07/2020|f|5|
74|1|2|17/11/2020 21:28:53|24/07/2020|f|2|
76|1|2|17/11/2020 21:32:23|22/07/2020|f|38.7|
77|1|2|17/11/2020 21:34:56|18/07/2020|f|11.3|
78|1|2|17/11/2020 21:35:37|18/07/2020|f|121|
79|4|2|17/11/2020 23:13:30|20/07/2020|t|28|
80|1|2|17/11/2020 23:14:01|17/07/2020|f|9.4|
81|1|2|17/11/2020 23:14:33|16/07/2020|f|16.6|
82|1|2|17/11/2020 23:15:02|16/07/2020|f|44.46|
83|1|2|17/11/2020 23:15:45|14/07/2020|f|20|
84|1|2|17/11/2020 23:21:57|14/07/2020|f|7|
85|1|2|17/11/2020 23:22:49|13/07/2020|f|12.99|
86|1|2|17/11/2020 23:24:24|12/07/2020|f|30|
87|1|2|17/11/2020 23:25:00|11/07/2020|f|10|
88|1|2|17/11/2020 23:25:34|12/07/2020|f|13.8|
89|1|2|30/11/2020 21:36:45|12/07/2020|f|10|
90|1|2|30/11/2020 21:37:13|10/07/2020|f|8|
92|1|2|30/11/2020 21:42:32|08/07/2020|f|28|
93|1|2|30/11/2020 21:43:05|08/07/2020|f|500|
94|1|2|30/11/2020 21:44:16|09/07/2020|f|10.49|
95|1|2|30/11/2020 21:44:50|07/07/2020|f|24|
96|1|2|30/11/2020 21:45:19|05/07/2020|f|36.5|
97|1|2|30/11/2020 21:46:51|03/07/2020|f|8.8|
98|1|2|30/11/2020 21:47:20|30/06/2020|f|8.5|
99|1|2|30/11/2020 21:47:47|29/06/2020|f|17.98|
101|1|2|30/11/2020 21:50:33|27/06/2020|f|55.87|
102|2|2|30/11/2020 21:51:17|30/06/2020|f|22.56|
103|4|2|30/11/2020 21:51:45|23/06/2020|t|100|
104|1|2|30/11/2020 21:52:23|17/06/2020|f|100|
105|1|2|30/11/2020 21:52:47|13/06/2020|f|40|
106|1|4|30/11/2020 21:53:16|16/06/2020|f|7|
107|1|2|30/11/2020 21:53:46|12/06/2020|f|53.05|
108|1|2|30/11/2020 21:54:03|11/06/2020|f|20|
109|1|2|30/11/2020 21:58:09|10/06/2020|f|47.1|
111|1|2|30/11/2020 22:00:27|06/06/2020|f|20.23|
112|4|4|30/11/2020 22:00:50|08/06/2020|t|8|
113|2|2|30/11/2020 22:01:56|05/06/2020|f|9.99|
114|1|2|30/11/2020 22:02:23|03/06/2020|f|37.91|
115|1|2|30/11/2020 22:02:48|03/06/2020|f|10.67|
116|1|2|30/11/2020 22:03:21|01/06/2020|f|17.92|
117|1|2|30/11/2020 22:03:39|04/06/2020|f|8|
118|1|2|30/11/2020 22:04:05|02/06/2020|f|29.99|
119|1|2|30/11/2020 22:06:11|02/06/2020|f|31.34|
120|4|2|30/11/2020 22:06:56|03/06/2020|t|240|
121|1|2|30/11/2020 22:07:18|01/06/2020|f|153|
122|1|2|30/11/2020 22:08:00|30/05/2020|f|15.5|
123|1|2|30/11/2020 22:08:31|30/05/2020|f|54.47|
124|1|2|30/11/2020 22:08:52|31/05/2020|f|279.99|
125|1|2|30/11/2020 22:09:14|29/05/2020|f|5.55|
126|2|2|30/11/2020 22:09:40|29/05/2020|f|15|
127|4|4|30/11/2020 22:10:10|25/05/2020|t|20|
128|1|2|30/11/2020 22:10:30|23/05/2020|f|24|
130|4|2|30/11/2020 22:11:38|14/05/2020|t|14|
132|2|2|30/11/2020 22:14:47|29/04/2020|f|9.99|
133|1|2|30/11/2020 22:15:17|01/05/2020|f|17.92|
134|1|2|30/11/2020 22:15:54|22/04/2020|f|10.99|
135|4|2|30/11/2020 22:16:12|23/04/2020|t|30|
136|2|2|30/11/2020 22:16:30|18/04/2020|f|5|
138|1|2|30/11/2020 22:20:23|14/04/2020|f|50|
139|1|2|30/11/2020 22:20:50|10/04/2020|f|40.5|
140|1|2|30/11/2020 22:21:33|06/04/2020|f|194.98|
141|2|2|30/11/2020 22:23:35|30/03/2020|f|5|
142|2|2|30/11/2020 22:24:04|29/03/2020|f|10|
143|4|2|30/11/2020 22:24:23|30/03/2020|t|60|
144|2|2|30/11/2020 22:24:57|23/03/2020|f|59.99|
145|1|2|30/11/2020 22:25:24|22/03/2020|f|60|
146|4|2|30/11/2020 22:26:16|19/03/2020|t|130|
147|1|2|30/11/2020 22:27:01|16/03/2020|f|2.28|
148|1|2|30/11/2020 22:27:24|16/03/2020|f|130.34|
149|4|2|30/11/2020 22:27:39|12/03/2020|t|55|
151|1|2|30/11/2020 22:30:29|09/03/2020|f|42.26|
152|1|2|30/11/2020 22:31:00|06/03/2020|f|50.21|
153|1|2|30/11/2020 22:32:24|04/03/2020|f|20|
154|2|2|30/11/2020 22:35:17|28/02/2020|f|15|
155|1|2|30/11/2020 22:37:26|01/03/2020|f|39.46|
156|1|2|30/11/2020 22:37:56|01/03/2020|f|5|
157|1|2|30/11/2020 22:38:17|01/03/2020|f|7.5|
158|2|4|30/11/2020 22:38:49|03/03/2020|f|15|
159|1|2|30/11/2020 22:39:16|25/02/2020|f|7.5|
160|1|2|30/11/2020 22:39:40|25/02/2020|f|7.1|
161|1|2|30/11/2020 22:40:00|25/02/2020|f|39.58|
162|1|2|24/12/2020 18:57:57|13/11/2020|f|53.22|
163|1|2|24/12/2020 18:58:39|17/11/2020|f|18.07|
164|1|2|24/12/2020 18:59:10|18/11/2020|f|35.33|
165|1|2|24/12/2020 18:59:41|20/11/2020|f|55.96|
166|1|2|24/12/2020 19:01:53|22/11/2020|f|6|
167|1|2|24/12/2020 19:06:26|25/11/2020|f|60.97|
168|1|2|24/12/2020 19:07:10|29/11/2020|f|21.29|
169|1|2|24/12/2020 19:11:26|29/11/2020|f|99.49|
170|2|2|24/12/2020 19:13:54|01/12/2020|f|10|
171|1|2|24/12/2020 19:17:52|01/12/2020|f|32.27|
172|1|2|24/12/2020 19:18:35|03/12/2020|f|8|
173|1|2|24/12/2020 19:21:30|03/12/2020|f|50|
174|1|4|24/12/2020 19:22:00|08/12/2020|f|16|
175|1|2|24/12/2020 19:22:50|11/12/2020|f|14.98|
177|1|2|24/12/2020 19:41:43|12/12/2020|f|20|
178|1|2|24/12/2020 19:42:28|13/12/2020|f|24|
179|1|4|24/12/2020 19:43:01|22/12/2020|f|50|
181|1|2|24/12/2020 19:45:17|19/12/2020|f|16|
182|1|2|24/12/2020 19:45:41|20/12/2020|f|20|
183|1|2|24/12/2020 19:46:36|19/12/2020|f|20|
184|1|1|24/12/2020 19:50:59|23/12/2020|f|6.3|
185|1|2|24/12/2020 19:55:49|23/12/2020|f|97.9|
186|1|2|24/12/2020 19:56:09|23/12/2020|f|70|
187|1|2|24/12/2020 19:56:36|23/12/2020|f|61.86|
188|1|2|24/12/2020 20:52:33|24/02/2020|f|20|
2763|7|2|26/02/2024 20:29:54.05|22/02/2024|f|3.5|
2764|7|7|26/02/2024 20:31:25.37|20/02/2024|f|2.18|
2765|1|7|26/02/2024 20:31:52.567|21/02/2024|f|1.6|
2766|7|7|26/02/2024 20:32:30.573|22/02/2024|f|4.97|
2767|1|7|26/02/2024 20:32:48.037|22/02/2024|f|10|
2768|2|7|26/02/2024 20:33:17.017|23/02/2024|f|10.84|
2769|7|7|26/02/2024 20:34:06.02|23/02/2024|f|9.13|
2770|7|7|26/02/2024 20:34:25.38|24/02/2024|f|35.64|
2771|5|2|26/02/2024 20:36:00.55|19/02/2024|t|1000|
2772|4|2|26/02/2024 20:36:31.27|20/02/2024|t|431|
2773|4|2|26/02/2024 20:36:54.817|20/02/2024|t|123|
2774|2|2|26/02/2024 20:37:21.4|26/02/2024|f|772.56|
2777|7|7|03/03/2024 21:37:48.317|29/02/2024|f|13.89|
2778|1|7|03/03/2024 21:38:19.09|29/02/2024|f|10|
213|1|2|24/12/2020 22:11:19|29/01/2020|f|104.11|
214|1|2|24/12/2020 22:11:47|30/01/2020|f|70|
222|1|2|24/12/2020 22:22:51|19/01/2020|f|68.63|
223|1|2|24/12/2020 22:23:23|15/01/2020|f|23.98|
224|1|2|24/12/2020 22:23:50|14/01/2020|f|99.99|
229|1|2|24/12/2020 22:53:33|08/01/2020|f|28.82|
230|1|2|24/12/2020 22:54:07|08/01/2020|f|70|
231|1|2|24/12/2020 22:54:31|08/01/2020|f|188.83|
232|4|4|24/12/2020 22:54:55|06/01/2020|t|3.3|
233|1|2|12/01/2021 23:21:59|27/12/2020|f|2|
234|4|2|12/01/2021 23:23:57|29/12/2020|t|156.26|Sarebbe 200 ma in 43.74� erano un rimborso
235|1|2|12/01/2021 23:24:24|25/12/2020|f|2.99|
236|1|2|12/01/2021 23:25:18|28/12/2020|f|12.25|
237|2|2|12/01/2021 23:28:08|31/12/2020|f|26.28|
238|1|2|12/01/2021 23:28:43|31/12/2020|f|8.6|
239|1|2|12/01/2021 23:29:46|31/12/2020|f|3.4|
240|1|2|12/01/2021 23:30:04|01/01/2021|f|3.4|
241|2|2|12/01/2021 23:33:03|01/01/2021|f|5|
242|1|2|12/01/2021 23:37:11|31/12/2020|f|62.56|
243|1|2|12/01/2021 23:37:43|04/01/2021|f|111.5|
244|1|2|12/01/2021 23:38:36|08/01/2021|f|109.77|
943|2|2|19/11/2021 14:33:29.59|19/11/2021|f|9.99|
245|1|2|12/01/2021 23:39:29|10/01/2021|f|29|Altri 10� provengono dal cambio dei due paia di calze
247|1|2|12/01/2021 23:49:58|12/01/2021|f|150|
248|1|2|18/01/2021 00:38:06|17/01/2021|f|37.65|
249|1|1|18/01/2021 00:38:31|16/01/2021|f|10.7|
256|1|2|26/01/2021 22:15:48|23/01/2021|f|7.24|
257|1|2|26/01/2021 22:16:33|23/01/2021|f|9.5|
258|4|1|26/01/2021 22:20:03|17/01/2021|t|5|
259|1|1|29/01/2021 22:35:59|29/01/2021|f|10.7|
260|1|2|02/02/2021 00:22:30|02/02/2021|f|79.9|
261|1|1|02/02/2021 00:22:49|02/02/2021|f|4|
262|1|1|02/02/2021 00:25:37|01/02/2021|f|2|
263|1|2|02/02/2021 00:55:31|31/01/2021|f|14|
265|2|2|02/02/2021 01:55:40|02/02/2021|f|10|
266|1|2|15/03/2021 01:56:28|06/02/2021|f|55.36|
267|1|2|15/03/2021 01:57:31|13/02/2021|f|72.84|
268|1|2|15/03/2021 01:57:50|13/02/2021|f|9.9|
269|1|1|15/03/2021 01:58:27|13/02/2021|f|6.2|
270|1|2|15/03/2021 02:03:55|18/02/2021|f|78.44|
271|1|1|15/03/2021 02:04:19|18/02/2021|f|8|
272|1|2|15/03/2021 02:06:03|27/02/2021|f|12|
273|1|1|15/03/2021 02:09:53|13/02/2021|f|5|
274|1|1|15/03/2021 02:10:31|27/02/2021|f|22|
275|1|2|15/03/2021 02:11:10|28/02/2021|f|85.99|
276|1|1|15/03/2021 02:11:30|28/02/2021|f|9|
277|1|2|15/03/2021 02:13:19|06/03/2021|f|21.97|
278|1|2|15/03/2021 02:13:42|07/03/2021|f|51.48|
279|1|1|15/03/2021 02:14:09|07/03/2021|f|6.2|
280|1|1|15/03/2021 02:16:03|08/03/2021|f|2.5|
281|1|2|15/03/2021 02:16:33|11/03/2021|f|16.03|
282|2|2|15/03/2021 02:18:09|01/03/2021|f|10|
283|1|2|15/03/2021 02:23:23|14/03/2021|f|52.98|
284|1|2|15/03/2021 02:23:42|14/03/2021|f|7.1|
285|1|2|15/03/2021 02:24:06|14/03/2021|f|2.48|
288|1|2|15/03/2021 02:43:41|12/03/2021|f|5|
289|1|2|16/03/2021 22:12:38|15/03/2021|f|2.35|
290|1|1|21/03/2021 22:33:55|19/03/2021|f|6.2|
291|1|1|21/03/2021 22:36:41|19/03/2021|f|4.5|
292|1|1|21/03/2021 22:39:08|21/03/2021|f|2.5|
293|1|4|21/03/2021 22:39:52|20/03/2021|f|12.5|
294|1|2|21/03/2021 22:55:10|21/03/2021|f|55.9|
295|1|2|23/03/2021 01:53:31|23/03/2021|f|19.9|
296|1|2|04/04/2021 01:44:14|20/03/2021|f|11.64|
